Session,Match Number,Venue,Date and Time,Winning Team,First Team,Second Team,Link
2008,MATCH 59,"DY Patil Stadium, NAVI MUMBAI","JUN, SUN 1 , 8:00 pm IST",RAJASTHAN ROYALS WON BY 3 WICKETS,Chennai Super Kings 163/5 (20 OV),Rajasthan Royals 164/7 (20 OV ),https://www.iplt20.com/match/2008/10058
2008,MATCH 58,"Wankhede Stadium, Mumbai","MAY, SAT 31 , 8:00 pm IST",CHENNAI SUPER KINGS WON BY 9 WICKETS,Chennai Super Kings 116/1 (14.5 OV),Punjab Kings 112/8 (20 OV ),https://www.iplt20.com/match/2008/10057
2008,MATCH 57,"Wankhede Stadium, Mumbai","MAY, FRI 30 , 8:00 pm IST",RAJASTHAN ROYALS WON BY 105 RUNS,Delhi Daredevils 87 (16.1 OV),Rajasthan Royals 192/9 (20 OV ),https://www.iplt20.com/match/2008/10056
2008,MATCH 56,"IS Bindra Stadium, Mohali","MAY, WED 28 , 8:00 pm IST",PUNJAB KINGS WON BY 41 RUNS,Punjab Kings 221/3 (20 OV),Rajasthan Royals 180/7 (20 OV ),https://www.iplt20.com/match/2008/10055
2008,MATCH 55,"M. Chinnaswamy Stadium, Bengaluru","MAY, WED 28 , 4:00 pm IST",MUMBAI INDIANS WON BY 9 WICKETS,Royal Challengers Bangalore 122/9 (18 OV),Mumbai Indians 126/1 (16 OV ),https://www.iplt20.com/match/2008/10054
2008,MATCH 54,"Rajiv Gandhi Intl. Cricket Stadium, Hyderabad","MAY, TUE 27 , 8:00 pm IST",CHENNAI SUPER KINGS WON BY 7 WICKETS,Deccan Chargers 147/8 (20 OV),Chennai Super Kings 148/3 (19.2 OV ),https://www.iplt20.com/match/2008/10053
2008,MATCH 53,"Sawai Mansingh Stadium, Jaipur","MAY, MON 26 , 8:00 pm IST",RAJASTHAN ROYALS WON BY 5 WICKETS,Rajasthan Royals 146/5 (20 OV),Mumbai Indians 145/7 (20 OV ),https://www.iplt20.com/match/2008/10052
2008,MATCH 52,"Eden Gardens, Kolkata","MAY, SUN 25 , 8:00 pm IST",KOLKATA KNIGHT RIDERS WON BY 3 WICKETS,Kolkata Knight Riders 175/7 (19.4 OV),Punjab Kings 174/6 (20 OV ),https://www.iplt20.com/match/2008/10051
2008,MATCH 51,"Rajiv Gandhi Intl. Cricket Stadium, Hyderabad","MAY, SUN 25 , 4:00 pm IST",ROYAL CHALLENGERS BANGALORE WON BY 5 WICKETS,Deccan Chargers 165 (20 OV),Royal Challengers Bangalore 171/5 (19 OV ),https://www.iplt20.com/match/2008/10050
2008,MATCH 50,"Arun Jaitley Stadium, Delhi","MAY, SAT 24 , 8:00 pm IST",DELHI DAREDEVILS WON BY 5 WICKETS,Delhi Daredevils 179/5 (19.5 OV),Mumbai Indians 180/8 (20 OV ),https://www.iplt20.com/match/2008/10049
2008,MATCH 49,"M. A. Chidambaram Stadium, Chennai","MAY, SAT 24 , 4:00 pm IST",RAJASTHAN ROYALS WON BY 10 RUNS,Chennai Super Kings 201/7 (20 OV),Rajasthan Royals 211/5 (20 OV ),https://www.iplt20.com/match/2008/10048
2008,MATCH 48,"IS Bindra Stadium, Mohali","MAY, FRI 23 , 8:00 pm IST",PUNJAB KINGS WON BY 6 WICKETS,Punjab Kings 178/4 (19.3 OV),Deccan Chargers 175/4 (20 OV ),https://www.iplt20.com/match/2008/10047
2008,MATCH 47,"Arun Jaitley Stadium, Delhi","MAY, THU 22 , 8:00 pm IST",MATCH ABANDONED WITHOUT A BALL BOWLED,Delhi Daredevils,Kolkata Knight Riders,https://www.iplt20.com/match/2008/10046
2008,MATCH 46,"M. A. Chidambaram Stadium, Chennai","MAY, WED 21 , 8:00 pm IST",ROYAL CHALLENGERS BANGALORE WON BY 14 RUNS,Chennai Super Kings 112/8 (20 OV),Royal Challengers Bangalore 126/8 (20 OV ),https://www.iplt20.com/match/2008/10045
2008,MATCH 45,"Wankhede Stadium, Mumbai","MAY, WED 21 , 4:00 pm IST",PUNJAB KINGS WON BY 1 RUN,Mumbai Indians 188 (20 OV),Punjab Kings 189/4 (20 OV ),https://www.iplt20.com/match/2008/10044
2008,MATCH 44,"Eden Gardens, Kolkata","MAY, TUE 20 , 8:00 pm IST",RAJASTHAN ROYALS WON BY 6 WICKETS,Kolkata Knight Riders 147/8 (20 OV),Rajasthan Royals 150/4 (16.3 OV ),https://www.iplt20.com/match/2008/10043
2008,MATCH 43,"M. Chinnaswamy Stadium, Bengaluru","MAY, MON 19 , 8:00 pm IST",DELHI DAREDEVILS WON BY 5 WICKETS,Royal Challengers Bangalore 154/7 (20 OV),Delhi Daredevils 158/5 (18.2 OV ),https://www.iplt20.com/match/2008/10042
2008,MATCH 42,"Rajiv Gandhi Intl. Cricket Stadium, Hyderabad","MAY, SUN 18 , 8:00 pm IST",MUMBAI INDIANS WON BY 25 RUNS,Deccan Chargers 153/7 (20 OV),Mumbai Indians 178/7 (20 OV ),https://www.iplt20.com/match/2008/10041
2008,MATCH 41,"Eden Gardens, Kolkata","MAY, SUN 18 , 4:00 pm IST",CSK WON BY 3 RUNS (D/L METHOD),Kolkata Knight Riders 149/5 (20 OV),Chennai Super Kings 55/0 (8 OV ),https://www.iplt20.com/match/2008/10040
2008,MATCH 40,"Arun Jaitley Stadium, Delhi","MAY, SAT 17 , 8:00 pm IST",KINGS XI PUNJAB WON BY 6 RUNS (D/L METHOD),Delhi Daredevils 118/4 (11 OV),Punjab Kings 94/3 (8 OV ),https://www.iplt20.com/match/2008/10039
2008,MATCH 39,"Sawai Mansingh Stadium, Jaipur","MAY, SAT 17 , 4:00 pm IST",RAJASTHAN ROYALS WON BY 65 RUNS,Rajasthan Royals 197/1 (20 OV),Royal Challengers Bangalore 132/9 (20 OV ),https://www.iplt20.com/match/2008/10038
2008,MATCH 38,"Wankhede Stadium, Mumbai","MAY, FRI 16 , 8:00 pm IST",MUMBAI INDIANS WON BY 8 WICKETS,Mumbai Indians 68/2 (5.3 OV),Kolkata Knight Riders 67 (15.2 OV ),https://www.iplt20.com/match/2008/10037
2008,MATCH 37,"Arun Jaitley Stadium, Delhi","MAY, THU 15 , 8:00 pm IST",DELHI DAREDEVILS WON BY 12 RUNS,Delhi Daredevils 194/4 (20 OV),Deccan Chargers 182/9 (20 OV ),https://www.iplt20.com/match/2008/10036
2008,MATCH 36,"Wankhede Stadium, Mumbai","MAY, WED 14 , 8:00 pm IST",MUMBAI INDIANS WON BY 9 WICKETS,Mumbai Indians 158/1 (13.5 OV),Chennai Super Kings 156/6 (20 OV ),https://www.iplt20.com/match/2008/10035
2008,MATCH 35,"Eden Gardens, Kolkata","MAY, TUE 13 , 8:00 pm IST",KOLKATA KNIGHT RIDERS WON BY 23 RUNS,Kolkata Knight Riders 133/6 (20 OV),Delhi Daredevils 110 (17.5 OV ),https://www.iplt20.com/match/2008/10034
2008,MATCH 34,"IS Bindra Stadium, Mohali","MAY, MON 12 , 8:00 pm IST",PUNJAB KINGS WON BY 9 WICKETS,Punjab Kings 144/1 (15.4 OV),Royal Challengers Bangalore 143/8 (20 OV ),https://www.iplt20.com/match/2008/10033
2008,MATCH 33,"Sawai Mansingh Stadium, Jaipur","MAY, SUN 11 , 8:00 pm IST",RAJASTHAN ROYALS WON BY 3 WICKETS,Rajasthan Royals 159/7 (19.1 OV),Delhi Daredevils 156/7 (20 OV ),https://www.iplt20.com/match/2008/10032
2008,MATCH 32,"Rajiv Gandhi Intl. Cricket Stadium, Hyderabad","MAY, SUN 11 , 4:00 pm IST",KOLKATA KNIGHT RIDERS WON BY 23 RUNS,Deccan Chargers 181/7 (20 OV),Kolkata Knight Riders 204/4 (20 OV ),https://www.iplt20.com/match/2008/10031
2008,MATCH 31,"M. A. Chidambaram Stadium, Chennai","MAY, SAT 10 , 8:00 pm IST",CHENNAI SUPER KINGS WON BY 18 RUNS,Chennai Super Kings 181/4 (20 OV),Punjab Kings 163/9 (20 OV ),https://www.iplt20.com/match/2008/10030
2008,MATCH 30,"Sawai Mansingh Stadium, Jaipur","MAY, FRI 9 , 8:00 pm IST",RAJASTHAN ROYALS WON BY 8 WICKETS,Rajasthan Royals 141/2 (16 OV),Deccan Chargers 140/8 (20 OV ),https://www.iplt20.com/match/2008/10029
2008,MATCH 29,"Eden Gardens, Kolkata","MAY, THU 8 , 8:00 pm IST",KOLKATA KNIGHT RIDERS WON BY 5 RUNS,Kolkata Knight Riders 129/7 (16 OV),Royal Challengers Bangalore 124/4 (16 OV ),https://www.iplt20.com/match/2008/10028
2008,MATCH 28,"Arun Jaitley Stadium, Delhi","MAY, THU 8 , 4:00 pm IST",CHENNAI SUPER KINGS WON BY 4 WICKETS,Delhi Daredevils 187/5 (20 OV),Chennai Super Kings 188/6 (20 OV ),https://www.iplt20.com/match/2008/10027
2008,MATCH 27,"DY Patil Stadium, NAVI MUMBAI","MAY, WED 7 , 8:00 pm IST",MUMBAI INDIANS WON BY 7 WICKETS,Mumbai Indians 104/3 (15.1 OV),Rajasthan Royals 103 (16.2 OV ),https://www.iplt20.com/match/2008/10026
2008,MATCH 26,"M. A. Chidambaram Stadium, Chennai","MAY, TUE 6 , 8:00 pm IST",DECCAN CHARGERS WON BY 7 WICKETS,Chennai Super Kings 144/7 (20 OV),Deccan Chargers 148/3 (18 OV ),https://www.iplt20.com/match/2008/10025
2008,MATCH 25,"M. Chinnaswamy Stadium, Bengaluru","MAY, MON 5 , 8:00 pm IST",PUNJAB KINGS WON BY 6 WICKETS,Royal Challengers Bangalore 126 (19.2 OV),Punjab Kings 127/4 (18.2 OV ),https://www.iplt20.com/match/2008/10024
2008,MATCH 24,"Sawai Mansingh Stadium, Jaipur","MAY, SUN 4 , 8:00 pm IST",RAJASTHAN ROYALS WON BY 8 WICKETS,Rajasthan Royals 110/2 (14.2 OV),Chennai Super Kings 109 (19 OV ),https://www.iplt20.com/match/2008/10023
2008,MATCH 23,"DY Patil Stadium, NAVI MUMBAI","MAY, SUN 4 , 4:00 pm IST",MUMBAI INDIANS WON BY 29 RUNS,Mumbai Indians 162/8 (20 OV),Delhi Daredevils 133 (18.5 OV ),https://www.iplt20.com/match/2008/10022
2008,MATCH 22,"IS Bindra Stadium, Mohali","MAY, SAT 3 , 8:00 pm IST",PUNJAB KINGS WON BY 9 RUNS,Punjab Kings 178/6 (20 OV),Kolkata Knight Riders 169/6 (20 OV ),https://www.iplt20.com/match/2008/10021
2008,MATCH 21,"M. Chinnaswamy Stadium, Bengaluru","MAY, SAT 3 , 4:00 pm IST",ROYAL CHALLENGERS BANGALORE WON BY 3 RUNS,Royal Challengers Bangalore 156/8 (20 OV),Deccan Chargers 153/6 (20 OV ),https://www.iplt20.com/match/2008/10020
2008,MATCH 20,"M. A. Chidambaram Stadium, Chennai","MAY, FRI 2 , 8:00 pm IST",DELHI DAREDEVILS WON BY 8 WICKETS,Chennai Super Kings 169/6 (20 OV),Delhi Daredevils 172/2 (19 OV ),https://www.iplt20.com/match/2008/10019
2008,MATCH 19,"Rajiv Gandhi Intl. Cricket Stadium, Hyderabad","MAY, THU 1 , 8:00 pm IST",PUNJAB KINGS WON BY 7 WICKETS,Deccan Chargers 164/8 (20 OV),Punjab Kings 167/3 (18.5 OV ),https://www.iplt20.com/match/2008/10018
2008,MATCH 18,"Sawai Mansingh Stadium, Jaipur","MAY, THU 1 , 4:00 pm IST",RAJASTHAN ROYALS WON BY 45 RUNS,Rajasthan Royals 196/7 (20 OV),Kolkata Knight Riders 151 (19.1 OV ),https://www.iplt20.com/match/2008/10017
2008,MATCH 17,"Arun Jaitley Stadium, Delhi","APR, WED 30 , 8:00 pm IST",DELHI DAREDEVILS WON BY 10 RUNS,Delhi Daredevils 191/5 (20 OV),Royal Challengers Bangalore 181/5 (20 OV ),https://www.iplt20.com/match/2008/10016
2008,MATCH 16,"Eden Gardens, Kolkata","APR, TUE 29 , 8:00 pm IST",MUMBAI INDIANS WON BY 7 WICKETS,Kolkata Knight Riders 137/8 (20 OV),Mumbai Indians 138/3 (18.4 OV ),https://www.iplt20.com/match/2008/10015
2008,MATCH 15,"M. Chinnaswamy Stadium, Bengaluru","APR, MON 28 , 8:00 pm IST",CHENNAI SUPER KINGS WON BY 13 RUNS,Royal Challengers Bangalore 165 (19.4 OV),Chennai Super Kings 178/5 (20 OV ),https://www.iplt20.com/match/2008/10014
2008,MATCH 14,"DY Patil Stadium, NAVI MUMBAI","APR, SUN 27 , 8:00 pm IST",DECCAN CHARGERS WON BY 10 WICKETS,Mumbai Indians 154/7 (20 OV),Deccan Chargers 155/0 (12 OV ),https://www.iplt20.com/match/2008/10013
2008,MATCH 13,"IS Bindra Stadium, Mohali","APR, SUN 27 , 4:00 pm IST",PUNJAB KINGS WON BY 4 WICKETS,Punjab Kings 162/6 (19.3 OV),Delhi Daredevils 158/8 (20 OV ),https://www.iplt20.com/match/2008/10012
2008,MATCH 12,"M. Chinnaswamy Stadium, Bengaluru","APR, SAT 26 , 8:00 pm IST",RAJASTHAN ROYALS WON BY 7 WICKETS,Royal Challengers Bangalore 135/8 (20 OV),Rajasthan Royals 138/3 (17.1 OV ),https://www.iplt20.com/match/2008/10011
2008,MATCH 11,"M. A. Chidambaram Stadium, Chennai","APR, SAT 26 , 4:00 pm IST",CHENNAI SUPER KINGS WON BY 9 WICKETS,Chennai Super Kings 152/1 (17 OV),Kolkata Knight Riders 147/9 (20 OV ),https://www.iplt20.com/match/2008/10010
2008,MATCH 10,"IS Bindra Stadium, Mohali","APR, FRI 25 , 8:00 pm IST",PUNJAB KINGS WON BY 66 RUNS,Punjab Kings 182 (20 OV),Mumbai Indians 116/9 (20 OV ),https://www.iplt20.com/match/2008/10009
2008,MATCH 9,"Rajiv Gandhi Intl. Cricket Stadium, Hyderabad","APR, THU 24 , 8:00 pm IST",RAJASTHAN ROYALS WON BY 3 WICKETS,Deccan Chargers 214/5 (20 OV),Rajasthan Royals 217/7 (19.5 OV ),https://www.iplt20.com/match/2008/10008
2008,MATCH 8,"M. A. Chidambaram Stadium, Chennai","APR, WED 23 , 8:00 pm IST",CHENNAI SUPER KINGS WON BY 6 RUNS,Chennai Super Kings 208/5 (20 OV),Mumbai Indians 202/7 (20 OV ),https://www.iplt20.com/match/2008/10007
2008,MATCH 7,"Rajiv Gandhi Intl. Cricket Stadium, Hyderabad","APR, TUE 22 , 8:00 pm IST",DELHI DAREDEVILS WON BY 9 WICKETS,Deccan Chargers 142/8 (20 OV),Delhi Daredevils 143/1 (13 OV ),https://www.iplt20.com/match/2008/10006
2008,MATCH 6,"Sawai Mansingh Stadium, Jaipur","APR, MON 21 , 8:00 pm IST",RAJASTHAN ROYALS WON BY 6 WICKETS,Rajasthan Royals 168/4 (18.1 OV),Punjab Kings 166/8 (20 OV ),https://www.iplt20.com/match/2008/10005
2008,MATCH 5,"Wankhede Stadium, Mumbai","APR, SUN 20 , 8:00 pm IST",ROYAL CHALLENGERS BANGALORE WON BY 5 WICKETS,Mumbai Indians 165/6 (20 OV),Royal Challengers Bangalore 166/5 (19.4 OV ),https://www.iplt20.com/match/2008/10004
2008,MATCH 4,"Eden Gardens, Kolkata","APR, SUN 20 , 4:00 pm IST",KOLKATA KNIGHT RIDERS WON BY 5 WICKETS,Kolkata Knight Riders 112/5 (19 OV),Deccan Chargers 110 (18.4 OV ),https://www.iplt20.com/match/2008/10003
2008,MATCH 3,"Arun Jaitley Stadium, Delhi","APR, SAT 19 , 8:00 pm IST",DELHI DAREDEVILS WON BY 9 WICKETS,Delhi Daredevils 132/1 (15.1 OV),Rajasthan Royals 129/8 (20 OV ),https://www.iplt20.com/match/2008/10002
2008,MATCH 2,"IS Bindra Stadium, Mohali","APR, SAT 19 , 4:00 pm IST",CHENNAI SUPER KINGS WON BY 33 RUNS,Punjab Kings 207/4 (20 OV),Chennai Super Kings 240/5 (20 OV ),https://www.iplt20.com/match/2008/10001
2008,MATCH 1,"M. Chinnaswamy Stadium, Bengaluru","APR, FRI 18 , 8:00 pm IST",KOLKATA KNIGHT RIDERS WON BY 140 RUNS,Royal Challengers Bangalore 82 (15.1 OV),Kolkata Knight Riders 222/3 (20 OV ),https://www.iplt20.com/match/2008/10000
2009,MATCH 59,"New Wanderers Stadium, Johannesburg","MAY, SUN 24 , 8:00 pm IST",DECCAN CHARGERS WON BY 6 RUNS,Royal Challengers Bangalore 137/9 (20 OV),Deccan Chargers 143/6 (20 OV ),https://www.iplt20.com/match/2009/10117
2009,MATCH 58,"New Wanderers Stadium, Johannesburg","MAY, SAT 23 , 8:00 pm IST",ROYAL CHALLENGERS BANGALORE WON BY 6 WICKETS,Royal Challengers Bangalore 149/4 (18.5 OV),Chennai Super Kings 146/5 (20 OV ),https://www.iplt20.com/match/2009/10116
2009,MATCH 57,"SuperSport Park, Centurion","MAY, FRI 22 , 8:00 pm IST",DECCAN CHARGERS WON BY 6 WICKETS,Delhi Daredevils 153/8 (20 OV),Deccan Chargers 154/4 (17.4 OV ),https://www.iplt20.com/match/2009/10115
2009,MATCH 56,"SuperSport Park, Centurion","MAY, THU 21 , 8:00 pm IST",ROYAL CHALLENGERS BANGALORE WON BY 12 RUNS,Royal Challengers Bangalore 170/4 (20 OV),Deccan Chargers 158/6 (20 OV ),https://www.iplt20.com/match/2009/10114
2009,MATCH 55,"SuperSport Park, Centurion","MAY, THU 21 , 4:00 pm IST",DELHI DAREDEVILS WON BY 4 WICKETS,Delhi Daredevils 166/6 (17.3 OV),Mumbai Indians 165/8 (20 OV ),https://www.iplt20.com/match/2009/10113
2009,MATCH 54,"Kingsmead, Durban","MAY, WED 20 , 8:00 pm IST",CHENNAI SUPER KINGS WON BY 24 RUNS,Chennai Super Kings 116/9 (20 OV),Punjab Kings 92/8 (20 OV ),https://www.iplt20.com/match/2009/10112
